text,intent
What is my internet speed?,unknown
Can you translate this sentence?,unknown
What movie should I watch tonight?,unknown
How do I bake a cake?,unknown
What is the population of India?,unknown
Who won the cricket match?,unknown
Help me plan a vacation,unknown
What is the temperature outside?,unknown
Can you recommend a phone?,unknown
How do I reset my password?,unknown
Tell me about artificial intelligence in general,unknown
What is two plus two?,unknown
Can you summarize this article?,unknown
What should I eat for dinner?,unknown
How do I create a website?,unknown
Tell me a funny story,unknown
What is the price of gold today?,unknown
Can you help with my homework?,unknown
What is the best programming language?,unknown
How do I make coffee?,unknown
What is a satellite?,space_knowledge
What is space debris?,space_knowledge
Tell me about satellites,space_knowledge
Tell me about space exploration,space_knowledge
What is orbital mechanics?,space_knowledge
Explain orbital mechanics,space_knowledge
What is an orbit?,space_knowledge
How do satellites work?,space_knowledge
How does space work?,space_knowledge
Tell me about NASA,space_knowledge
What does NASA do?,space_knowledge
What is the difference between a satellite and a rocket?,space_knowledge
What is the difference between a satellite and debris?,space_knowledge
Why are satellites important?,space_knowledge
Why is space exploration important?,space_knowledge
Tell me something interesting about space,space_knowledge
What are artificial satellites?,space_knowledge
What are natural satellites?,space_knowledge
How are satellites launched?,space_knowledge
How are satellites built?,space_knowledge
What happens to old satellites?,space_knowledge
Why do satellites stay in orbit?,space_knowledge
Can satellites fall back to Earth?,space_knowledge
What is low Earth orbit?,space_knowledge
What is geostationary orbit?,space_knowledge
What is the Moon's orbit?,space_knowledge
How many satellites are around Earth?,space_knowledge
Tell me about the International Space Station,space_knowledge
What is a rocket?,space_knowledge
How do rockets work?,space_knowledge
Define a satellite,space_knowledge
What exactly is a satellite?,space_knowledge
Can you explain satellites?,space_knowledge
How does a satellite remain in space?,space_knowledge
Why don't satellites fall straight down?,space_knowledge
What keeps satellites in orbit?,space_knowledge
What is an orbital path?,space_knowledge
Explain what an orbit is,space_knowledge
What does orbital velocity mean?,space_knowledge
What is orbital velocity?,space_knowledge
Explain Earth's orbit,space_knowledge
What is LEO?,space_knowledge
What is GEO?,space_knowledge
What is geostationary orbit used for?,space_knowledge
What is space debris made of?,space_knowledge
Where does space junk come from?,space_knowledge
Why is space junk dangerous?,space_knowledge
How does space debris affect satellites?,space_knowledge
How are old satellites removed?,space_knowledge
What happens when satellites stop working?,space_knowledge
What is NASA responsible for?,space_knowledge
What kind of work does NASA do?,space_knowledge
Why does NASA study space?,space_knowledge
What is the ISS?,space_knowledge
How does the ISS stay in orbit?,space_knowledge
What is a rocket used for?,space_knowledge
How does a rocket get into orbit?,space_knowledge
What is the difference between a rocket and a satellite?,space_knowledge
How do rockets reach space?,space_knowledge
Why are rockets needed for satellites?,space_knowledge
